animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R610,2023-04-06,,,0,,0.0,,,,,17.51,JB,0.0,0.0,0.0,0.7,-0.7
R610,2023-04-07,,,0,,0.0,,,,,16.57,ER,4.0,0.0,0.0,0.66,-0.66
R610,2023-04-08,,,0,,0.0,,,,,15.96,ER,4.0,0.0,0.0,0.64,-0.64
R610,2023-04-09,,,0,,0.0,,,,,15.5,ER,4.0,0.009,0.0,0.62,-0.611
R610,2023-04-10,,,0,,0.0,,,,,15.69,JL,0.0,0.0,0.0,0.63,-0.63
R610,2023-04-11,,,0,,0.0,,,,,15.66,JL,0.0,0.0,0.0,0.63,-0.63
R610,2023-04-12,,,0,,0.0,,,,,15.56,ER,4.0,0.192,0.0,0.62,-0.428
R610,2023-04-13,Rig406,66.0,1,10:14:54,1.03,64.08,0.99,0.53,-0.99,15.55,JL,0.0,0.0,0.62,0.62,0.0
R610,2023-04-14,,,0,,0.0,,,,,0.0,FW,0.0,0.0,0.0,0.0,0.0
R610,2023-04-15,Rig406,67.0,1,11:15:11,1.04,64.42,0.99,0.22,0.0,15.32,AB,4.0,0.0,1.04,0.61,0.43
R610,2023-04-16,Rig406,68.0,1,10:52:54,1.05,64.76,0.99,0.07,-0.99,16.15,ER,4.0,0.0,0.945,0.65,0.2949999999999999
R610,2023-04-17,Rig406,85.0,1,09:44:17,1.04,81.73,0.55,0.0,-0.37,16.56,JL,4.0,0.0,1.275,0.66,0.6149999999999999
R610,2023-04-18,Rig406,85.0,1,10:05:05,1.04,81.73,0.62,0.01,-0.5900000000000001,17.27,JL,4.0,0.0,0.84,0.69,0.15
R610,2023-04-19,Rig406,102.0,1,10:40:06,1.02,100.0,0.56,0.0,-0.68,16.98,ER,4.0,0.0,1.03,0.68,0.35
R610,2023-04-20,Rig406,88.0,1,08:28:46,1.03,85.44,0.57,0.2,-0.49,16.7,ER,4.0,0.0,0.7,0.67,0.0299999999999999
R610,2023-04-21,Rig406,125.0,1,08:32:36,1.03,121.36,0.64,0.18,-0.28,16.18,ER,4.0,0.0,1.03,0.65,0.38
R610,2023-04-22,Rig406,137.0,1,11:11:19,1.09,125.69,0.69,0.1199999999999999,-0.17,15.92,ER,4.0,0.0,0.968,0.64,0.3279999999999999
R610,2023-04-23,Rig406,159.0,1,10:09:45,1.05,151.43,0.77,0.06,0.08,15.88,ER,4.0,0.0,1.2,0.64,0.5599999999999999
R610,2023-04-24,Rig406,169.0,1,10:10:26,1.05,160.95,0.7799999999999999,0.07,0.2300000000000001,15.86,JL,4.0,0.0,1.272,0.63,0.642
R610,2023-04-25,Rig406,156.0,1,10:10:10,1.16,134.48,0.76,0.08,0.24,16.08,JL,4.0,0.0,0.864,0.64,0.2239999999999999
R610,2023-04-26,Rig406,141.0,1,09:47:44,0.94,150.0,0.75,0.16,0.2699999999999999,15.96,ER,4.0,0.111,0.528,0.64,-0.001
R610,2023-04-27,Rig406,169.0,1,08:29:58,1.01,167.33,0.7,0.17,0.28,15.85,ER,4.0,0.045,0.594,0.63,0.009
R610,2023-04-28,Rig406,169.0,1,09:38:41,1.04,162.5,0.8000000000000002,0.19,0.15,15.78,JL,4.0,0.0,0.654,0.63,0.024
R610,2023-04-30,,,0,,0.0,,,,,16.08,ER,4.0,0.654,0.0,0.64,0.014
R610,2023-05-01,Rig406,181.0,1,09:46:21,1.03,175.73,0.79,0.14,0.15,16.1,JL,4.0,0.0,0.738,0.64,0.0979999999999999
R610,2023-05-02,Rig406,178.0,1,10:02:47,1.15,154.78,0.76,0.19,0.09,16.05,JL,4.0,0.0,0.66,0.64,0.02
R610,2023-05-03,Rig406,152.0,1,07:36:32,1.01,150.5,0.78,0.12,0.0799999999999999,15.93,ER,4.0,0.009,0.63,0.64,-0.001
R610,2023-05-04,Rig406,167.0,1,09:49:31,1.01,165.35,0.81,0.11,0.02,15.8,JL,4.0,0.0,0.726,0.63,0.0959999999999999
R610,2023-05-05,Rig406,227.0,1,09:50:54,1.28,177.34,0.76,0.11,-0.06,15.86,JL,4.0,0.0,0.936,0.63,0.306
R610,2023-05-06,Rig406,180.0,1,08:01:21,1.02,176.47,0.76,0.13,-0.1099999999999999,16.12,ER,4.0,0.0,0.714,0.64,0.0739999999999999
R610,2023-05-07,Rig406,197.0,1,08:11:32,1.02,193.14,0.74,0.26,-0.04,16.13,ER,4.0,0.0,0.654,0.65,0.004
R610,2023-05-08,Rig406,201.0,1,09:50:20,1.01,199.01,0.6,0.42,-0.1499999999999999,16.02,JL,4.0,0.222,0.426,0.64,0.008
R610,2023-05-09,Rig406,205.0,1,09:36:26,1.07,191.59,0.52,0.56,-0.2,16.09,JL,4.0,0.372,0.282,0.64,0.0139999999999999
R610,2023-05-10,Rig406,185.0,1,08:32:01,1.05,176.19,0.5,0.41,-0.2,16.36,ER,4.0,0.327,0.33,0.65,0.007
R610,2023-05-11,Rig406,181.0,1,10:07:34,1.05,172.38,0.51,0.61,-0.34,16.38,JL,4.0,0.441,0.216,0.66,-0.003
R610,2023-05-12,Rig406,217.0,1,07:55:55,1.27,170.87,0.58,0.57,-0.28,16.46,ER,4.0,0.339,0.324,0.66,0.003
R610,2023-05-13,Rig406,193.0,1,10:52:56,1.14,169.3,0.52,0.56,-0.07,16.65,ER,4.0,0.411,0.264,0.67,0.005
R610,2023-05-14,Rig406,181.0,1,07:01:13,1.01,179.21,0.62,0.56,-0.3799999999999999,16.92,ER,4.0,0.393,0.294,0.68,0.007
R610,2023-05-15,Rig406,68.0,1,10:15:52,0.39,174.36,0.44,0.63,-0.18,16.98,ER,4.0,0.624,0.066,0.68,0.0099999999999998
R610,2023-05-16,Rig406,177.0,1,09:50:40,1.03,171.84,0.56,0.6,-0.16,16.96,JL,4.0,0.447,0.234,0.68,0.001
R610,2023-05-17,Rig406,160.0,1,07:37:16,1.03,155.34,0.6,0.01,0.02,16.89,ER,4.0,0.0,1.6,0.68,0.92
R610,2023-05-18,Rig406,152.0,1,07:51:08,1.02,149.02,0.54,0.01,-0.0899999999999999,17.01,ER,4.0,0.0,1.5,0.68,0.82
R610,2023-05-19,Rig406,191.0,1,07:50:52,1.01,189.11,0.54,0.01,-0.0499999999999999,17.29,ER,4.0,0.285,0.412,0.69,0.007
R610,2023-05-20,Rig406,186.0,1,07:56:33,1.0,186.0,0.49,0.01,0.0,17.09,ER,4.0,0.327,0.364,0.68,0.011
R610,2023-05-21,Rig406,192.0,1,10:51:40,1.04,184.62,0.5,0.01,-0.1499999999999999,16.81,ER,4.0,0.108,0.57,0.67,0.0079999999999998
R610,2023-05-22,Rig406,182.0,1,09:31:35,0.96,189.58,0.53,0.02,0.05,16.95,JL,4.0,0.108,0.57,0.68,-0.0020000000000001
R610,2023-05-23,Rig406,184.0,1,09:43:45,1.02,180.39,0.62,0.33,-0.05,17.2,JL,4.0,0.237,0.456,0.69,0.0030000000000001
R610,2023-05-24,Rig406,196.0,1,09:31:20,1.16,168.97,0.69,0.02,-0.4,16.95,ER,4.0,0.0,0.804,0.68,0.124
R610,2023-05-25,Rig406,162.0,1,08:57:14,1.01,160.4,0.65,0.04,0.1799999999999999,17.4,ER,4.0,0.093,0.606,0.7,-0.001
R611,2023-04-06,,,0,,0.0,,,,,17.62,JB,0.0,0.0,0.0,0.7,-0.7
R611,2023-04-07,,,0,,0.0,,,,,16.26,ER,0.0,0.0,0.0,0.65,-0.65
R611,2023-04-08,,,0,,0.0,,,,,15.79,ER,0.0,0.0,0.0,0.63,-0.63
R611,2023-04-09,,,0,,0.0,,,,,15.57,ER,0.0,0.0,0.0,0.62,-0.62
R611,2023-04-10,,,0,,0.0,,,,,15.78,JL,0.0,0.0,0.0,0.63,-0.63
R611,2023-04-11,,,0,,0.0,,,,,15.72,JL,0.0,0.0,0.0,0.63,-0.63
R611,2023-04-12,,,0,,0.0,,,,,16.02,ER,0.0,0.0,0.0,0.64,-0.64
R611,2023-04-13,Rig401,69.0,1,10:12:00,1.1,62.73,0.99,0.55,-0.99,16.38,JL,0.0,0.0,0.62,0.66,-0.04
R611,2023-04-14,,,0,,0.0,,,,,0.0,FW,0.0,0.0,0.0,0.0,0.0
R611,2023-04-15,Rig401,68.0,1,11:15:09,1.04,65.38,0.99,0.19,0.0,15.41,AB,4.0,0.0,1.1,0.62,0.4800000000000001
R611,2023-04-16,Rig401,70.0,1,10:52:50,1.05,66.67,0.99,0.06,-0.99,16.32,ER,4.0,0.0,0.99,0.65,0.3399999999999999
R611,2023-04-17,Rig401,92.0,1,09:45:26,1.02,90.2,0.69,0.02,-0.26,16.88,JL,4.0,0.0,1.35,0.68,0.67
R611,2023-04-18,,,0,,0.0,,,,,17.61,JL,4.0,0.705,0.0,0.7,0.005
R611,2023-04-19,Rig404,146.0,1,10:40:09,1.02,143.14,0.61,0.02,-0.26,17.39,ER,4.0,0.0,1.43,0.7,0.73
R611,2023-04-20,Rig404,112.0,1,08:28:43,1.03,108.74,0.56,0.02,-0.1999999999999999,17.05,ER,4.0,0.0,0.88,0.68,0.1999999999999999
